Correlation mean	Correlation std. dev.	Gene ID	Gene systematic name	Gene common name
0.1185	0.0268	1146	YHR178W	STB5
0.1180	0.0278	2948	YGR003W	CUL3
0.1180	0.0264	4922	YNL289W	PCL1
0.1179	0.0384	1205	YIL018W	RPL2B
0.1178	0.0288	135	YBL047C	EDE1
0.1173	0.0314	4073	YLR382C	NAM2
0.1172	0.0254	4769	YNL136W	EAF7
0.1171	0.0342	3838	YLR149C	YLR149C
0.1168	0.0240	95	YBL007C	SLA1
0.1165	0.0248	4507	YMR205C	PFK2
0.1165	0.0347	169	YBL081W	YBL081W
0.1165	0.0237	505	YCL011C	GBP2
0.1163	0.0331	5297	YOR084W	LPX1
0.1162	0.0296	3531	YJR069C	HAM1
0.1162	0.0260	5715	YPL109C	MCO76
0.1162	0.0355	1171	YHR203C	RPS4B
0.1161	0.0343	3481	YJR015W	YJR015W
0.1161	0.0220	619	YCR066W	RAD18
0.1160	0.0209	2136	YDR009W	GAL3
0.1160	0.0344	4392	YMR097C	MTG1
0.1158	0.0350	2192	YDR065W	RRG1
0.1157	0.0252	763	YER032W	FIR1
0.1156	0.0315	2078	YDL199C	YDL199C
0.1155	0.0374	2762	YGL081W	YGL081W
0.1155	0.0360	6027	YPR141C	KAR3
0.1155	0.0338	461	YBR267W	REI1
0.1153	0.0246	2705	YGL023C	PIB2
0.1153	0.0242	546	YCL061C	MRC1
0.1152	0.0253	1524	YKL126W	YPK1
0.1151	0.0228	2490	YDR363W	ESC2
0.1143	0.0274	4712	YNL079C	TPM1
0.1141	0.0254	473	YBR279W	PAF1
0.1141	0.0269	5992	YPR106W	ISR1
0.1140	0.0332	4544	YMR242C	RPL20A
0.1139	0.0333	1959	YDL081C	RPP1A
0.1138	0.0260	2210	YDR083W	RRP8
0.1136	0.0272	632	YCR084C	TUP1
0.1133	0.0246	4879	YNL246W	VPS75
0.1133	0.0320	3386	YJL145W	SFH5
0.1133	0.0261	4425	YMR129W	POM152
0.1130	0.0231	5006	YNR034W	SOL1
0.1129	0.0328	2008	YDL130W	RPP1B
0.1128	0.0242	5859	YPL253C	VIK1
0.1128	0.0219	999	YHR032W	ERC1
0.1128	0.0344	375	YBR181C	RPS6B
0.1125	0.0222	5670	YPL064C	CWC27
0.1125	0.0234	2308	YDR181C	SAS4
0.1123	0.0201	2248	YDR121W	DPB4
0.1122	0.0365	324	YBR130C	SHE3
0.1122	0.0268	2012	YDL134C	PPH21
0.1121	0.0373	709	YEL054C	RPL12A
0.1120	0.0256	5353	YOR141C	ARP8
0.1116	0.0315	1454	YKL056C	TMA19
0.1114	0.0318	3088	YGR143W	SKN1
0.1114	0.0257	2079	YDL200C	MGT1
0.1113	0.0227	4283	YML121W	GTR1
0.1112	0.0301	2270	YDR144C	MKC7
0.1110	0.0302	3782	YLR093C	NYV1
0.1110	0.0328	2242	YDR115W	MRX14
0.1105	0.0370	3879	YLR190W	MMR1
0.1104	0.0233	6133	YOR298C-A	MBF1
0.1103	0.0270	5506	YOR295W	UAF30
0.1103	0.0366	156	YBL068W	PRS4
0.1103	0.0296	5587	YOR375C	GDH1
0.1102	0.0360	1877	YBR084C-A	RPL19A
0.1096	0.0326	1414	YKL016C	ATP7
0.1095	0.0250	2606	YDR480W	DIG2
0.1093	0.0335	5149	YOL100W	PKH2
0.1091	0.0342	2081	YDL202W	MRPL11
0.1090	0.0309	860	YER131W	RPS26B
0.1090	0.0256	6021	YPR135W	CTF4
0.1090	0.0367	6106	YPL183W-A	RTC6
0.1089	0.0364	620	YCR067C	SED4
0.1088	0.0334	1042	YHR075C	PPE1
0.1087	0.0221	484	YBR290W	BSD2
0.1082	0.0237	3741	YLR052W	IES3
0.1079	0.0341	3165	YGR220C	MRPL9
0.1078	0.0331	5611	YPL005W	AEP3
0.1078	0.0317	3738	YLR049C	MLO50
0.1077	0.0224	425	YBR231C	SWC5
0.1076	0.0318	4186	YML026C	RPS18B
0.1075	0.0334	1337	YIL152W	YIL152W
0.1075	0.0258	1674	YKR054C	DYN1
0.1075	0.0263	4348	YMR055C	BUB2
0.1074	0.0305	1856	YFR031C-A	RPL2A
0.1073	0.0237	4881	YNL248C	RPA49
0.1073	0.0330	5190	YOL141W	PPM2
0.1072	0.0263	1792	YFL001W	DEG1
0.1072	0.0353	5685	YPL079W	RPL21B
0.1071	0.0258	2289	YDR163W	CWC15
0.1069	0.0243	1430	YKL032C	IXR1
0.1068	0.0297	3750	YLR061W	RPL22A
0.1067	0.0303	1359	YIR003W	AIM21
0.1066	0.0381	4702	YNL069C	RPL16B
0.1066	0.0336	5446	YOR234C	RPL33B
0.1059	0.0315	2120	YDL241W	YDL241W
0.1059	0.0303	5247	YOR034C	AKR2
0.1059	0.0322	2941	YGL259W	YPS5
0.1057	0.0241	2450	YDR323C	PEP7
0.1056	0.0334	3434	YJL193W	YJL193W
0.1054	0.0354	688	YEL033W	MTC7
0.1052	0.0306	2130	YDR003W	RCR2
0.1052	0.0313	588	YCR031C	RPS14A
0.1052	0.0208	5910	YPR023C	EAF3
0.1052	0.0313	3285	YJL042W	MHP1
0.1051	0.0273	3291	YJL048C	UBX6
0.1050	0.0336	2321	YDR194C	MSS116
0.1050	0.0342	3607	YJR145C	RPS4A
0.1047	0.0316	3883	YLR194C	NCW2
0.1047	0.0264	2176	YDR049W	VMS1
0.1046	0.0240	167	YBL079W	NUP170
0.1046	0.0372	3616	YJR154W	YJR154W
0.1045	0.0248	2265	YDR139C	RUB1
0.1045	0.0239	2412	YDR285W	ZIP1
0.1044	0.0319	1993	YDL115C	IWR1
0.1043	0.0401	1064	YHR097C	PAL2
0.1042	0.0365	1256	YIL069C	RPS24B
0.1041	0.0257	1687	YKR067W	GPT2
0.1039	0.0340	989	YHR022C	YHR022C
0.1038	0.0203	6201	YGR271C-A	EFG1
0.1037	0.0313	5784	YPL178W	CBC2
0.1036	0.0331	3469	YJR004C	SAG1
0.1033	0.0242	3280	YJL036W	SNX4
0.1033	0.0279	4571	YMR269W	TMA23
0.1033	0.0355	3673	YLL051C	FRE6
0.1032	0.0359	693	YEL038W	UTR4
0.1031	0.0239	1827	YFR036W	CDC26
0.1031	0.0325	3160	YGR215W	RSM27
0.1029	0.0214	3049	YGR104C	SRB5
0.1029	0.0388	5339	YOR127W	RGA1
0.1029	0.0286	5842	YPL236C	ENV7
0.1027	0.0314	5507	YOR296W	YOR296W
0.1027	0.0294	5487	YOR276W	CAF20
0.1023	0.0334	1468	YKL070W	YKL070W
0.1022	0.0356	5058	YOL009C	MDM12
0.1021	0.0338	3882	YLR193C	UPS1
0.1019	0.0322	3099	YGR154C	GTO1
0.1019	0.0290	2036	YDL157C	YDL157C
0.1018	0.0224	2590	YDR463W	STP1
0.1017	0.0245	3888	YLR199C	PBA1
0.1016	0.0302	4372	YMR078C	CTF18
0.1016	0.0276	4563	YMR261C	TPS3
0.1015	0.0351	646	YCR098C	GIT1
0.1015	0.0249	3915	YLR226W	BUR2
0.1014	0.0248	5782	YPL176C	TRE1
0.1014	0.0358	2682	YFR024C-A	LSB3
0.1013	0.0348	5076	YOL027C	MDM38
0.1010	0.0286	5948	YPR061C	JID1
0.1010	0.0346	3047	YGR102C	GTF1
0.1009	0.0271	643	YCR095C	OCA4
0.1008	0.0239	2228	YDR101C	ARX1
0.1006	0.0270	711	YEL056W	HAT2
0.1005	0.0215	1806	YFR014C	CMK1
0.1004	0.0369	4489	YMR188C	MRPS17
0.1003	0.0331	4669	YNL035C	YNL035C
0.1000	0.0354	2577	YDR450W	RPS18A
0.1000	0.0279	4683	YNL049C	SFB2
0.0999	0.0307	851	YER122C	GLO3
0.0999	0.0224	4586	YMR284W	YKU70
0.0996	0.0222	924	YHL007C	STE20
0.0995	0.0289	2496	YDR369C	XRS2
0.0995	0.0273	5384	YOR172W	YRM1
0.0995	0.0318	3107	YGR162W	TIF4631
0.0994	0.0354	2015	YDL136W	RPL35B
0.0994	0.0297	1155	YHR187W	IKI1
0.0993	0.0340	2156	YDR029W	YDR029W
0.0991	0.0316	2378	YDR251W	PAM1
0.0990	0.0352	1438	YKL040C	NFU1
0.0990	0.0402	216	YBR020W	GAL1
0.0989	0.0234	2082	YDL203C	ACK1
0.0989	0.0373	2566	YDR439W	LRS4
0.0987	0.0314	5278	YOR065W	CYT1
0.0986	0.0241	5800	YPL194W	DDC1
0.0980	0.0247	4264	YML103C	NUP188
0.0978	0.0288	4737	YNL104C	LEU4
0.0978	0.0226	4869	YNL236W	SIN4
0.0975	0.0243	3707	YLR018C	POM34
0.0975	0.0300	5724	YPL118W	MRP51
0.0974	0.0247	4290	YML128C	MSC1
0.0970	0.0334	4269	YML108W	YML108W
0.0969	0.0329	3974	YLR285W	NNT1
0.0969	0.0217	3356	YJL115W	ASF1
0.0969	0.0299	747	YER016W	BIM1
0.0968	0.0342	4887	YNL254C	RTC4
0.0966	0.0343	1685	YKR065C	PAM17
0.0966	0.0305	1162	YHR194W	MDM31
0.0966	0.0311	3125	YGR180C	RNR4
0.0966	0.0273	4832	YNL199C	GCR2
0.0965	0.0243	2791	YGL110C	CUE3
0.0965	0.0337	4972	YNL339C	YRF1-6
0.0964	0.0366	3138	YGR193C	PDX1
0.0964	0.0211	5614	YPL008W	CHL1
0.0964	0.0253	5407	YOR195W	SLK19
0.0963	0.0336	3158	YGR213C	RTA1
0.0962	0.0227	4576	YMR274C	RCE1
0.0962	0.0316	5692	YPL086C	ELP3
0.0962	0.0282	2040	YDL161W	ENT1
0.0961	0.0263	2486	YDR359C	EAF1
0.0959	0.0320	3098	YGR153W	YGR153W
0.0959	0.0237	4369	YMR075W	RCO1
0.0957	0.0271	704	YEL049W	PAU2
0.0956	0.0272	5652	YPL046C	ELC1
0.0955	0.0336	5588	YOR376W	YOR376W
0.0955	0.0281	556	YCL026C-A	FRM2
0.0955	0.0339	445	YBR251W	MRPS5
0.0954	0.0353	3615	YJR153W	PGU1
0.0954	0.0296	1473	YKL075C	YKL075C
0.0953	0.0247	1881	YDL002C	NHP10
0.0953	0.0325	4140	YLR450W	HMG2
0.0952	0.0287	5979	YPR093C	ASR1
0.0952	0.0246	1934	YDL056W	MBP1
0.0951	0.0363	5623	YPL017C	IRC15
0.0951	0.0305	2642	YDR516C	EMI2
0.0951	0.0375	1726	YKR106W	GEX2
0.0950	0.0353	3630	YLL006W	MMM1
0.0950	0.0220	2922	YGL240W	DOC1
0.0949	0.0237	5608	YPL002C	SNF8
0.0946	0.0314	5229	YOR015W	YOR015W
0.0946	0.0340	6042	YPR156C	TPO3
0.0943	0.0352	960	YHL043W	ECM34
0.0943	0.0309	4495	YMR193W	MRPL24
0.0943	0.0288	3046	YGR101W	PCP1
0.0942	0.0321	2337	YDR210W	YDR210W
0.0942	0.0333	5536	YOR324C	FRT1
0.0941	0.0258	2822	YGL141W	HUL5
0.0941	0.0265	4100	YLR410W	VIP1
0.0941	0.0365	2476	YDR349C	YPS7
0.0941	0.0326	4453	YMR155W	YMR155W
0.0939	0.0301	4725	YNL092W	YNL092W
0.0938	0.0314	3336	YJL093C	TOK1
0.0938	0.0315	4833	YNL200C	NNR1
0.0937	0.0394	3412	YJL171C	TOH1
0.0933	0.0346	5233	YOR019W	YOR019W
0.0933	0.0347	4630	YMR322C	SNO4
0.0931	0.0323	5308	YOR096W	RPS7A
0.0930	0.0207	3728	YLR039C	RIC1
0.0930	0.0305	3083	YGR138C	TPO2
0.0927	0.0295	5011	YNR039C	ZRG17
