"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005794","CC","GO:0005794","Golgi apparatus",0.138297872340426,0.051948051948052,0.00103765160108363,0.00950270413623957,0.0066110766828043,"YER039C/YNL297C/YLR220W/YBR014C/YJL024C/YJL207C/YGL137W/YJR075W/YDR238C/YDR170C/YPL218W/YDR233C/YBR187W",13
"GO:0101031","CC","GO:0101031","chaperone complex",0.0319148936170213,0.0025974025974026,0.0016489931792578,0.0143462406595428,0.00998074819024456,"YJL014W/YDR212W/YDL143W",3
"GO:0030117","CC","GO:0030117","membrane coat",0.0425531914893617,0.00606060606060606,0.00234249211888698,0.0180173372790957,0.0125347476533334,"YJL024C/YGL137W/YDR238C/YPL218W",4
"GO:0048475","CC","GO:0048475","coated membrane",0.0425531914893617,0.00606060606060606,0.00234249211888698,0.0180173372790957,0.0125347476533334,"YJL024C/YGL137W/YDR238C/YPL218W",4
"GO:0005811","CC","GO:0005811","lipid droplet",0.0531914893617021,0.01004329004329,0.00238160205413334,0.0180173372790957,0.0125347476533334,"YMR110C/YDL052C/YOR246C/YGR175C/YKL182W",5
"GO:0000139","CC","GO:0000139","Golgi membrane",0.0851063829787234,0.0261471861471861,0.00301698872229818,0.0218731682366618,0.0152172676782584,"YER039C/YNL297C/YLR220W/YGL137W/YJR075W/YDR238C/YPL218W/YBR187W",8
"GO:0012506","CC","GO:0012506","vesicle membrane",0.0851063829787234,0.0264935064935065,0.00327243750577485,0.0219001586924932,0.0152360450673728,"YMR110C/YER039C/YNL297C/YJL024C/YFL005W/YGL137W/YDR238C/YPL218W",8
"GO:0030659","CC","GO:0030659","cytoplasmic vesicle membrane",0.0851063829787234,0.0264935064935065,0.00327243750577485,0.0219001586924932,0.0152360450673728,"YMR110C/YER039C/YNL297C/YJL024C/YFL005W/YGL137W/YDR238C/YPL218W",8
"GO:0005635","CC","GO:0005635","nuclear envelope",0.0851063829787234,0.0275324675324675,0.00414103367341615,0.0266866614509041,0.0185660379120022,"YOR326W/YJR132W/YML075C/YML103C/YDR395W/YGL016W/YLL023C/YER110C",8
"GO:0010494","CC","GO:0010494","cytoplasmic stress granule",0.0638297872340425,0.0174891774891775,0.0058038705188368,0.0360669096527715,0.0250919214160237,"YHR121W/YBR127C/YGR155W/YFL045C/YMR309C/YER110C",6
"GO:0035770","CC","GO:0035770","ribonucleoprotein granule",0.074468085106383,0.0237229437229437,0.00667448397406341,0.0387120070495678,0.0269321283163962,"YHR121W/YBR127C/YGR155W/YCR093W/YFL045C/YMR309C/YER110C",7
"GO:0036464","CC","GO:0036464","cytoplasmic ribonucleoprotein granule",0.074468085106383,0.0237229437229437,0.00667448397406341,0.0387120070495678,0.0269321283163962,"YHR121W/YBR127C/YGR155W/YCR093W/YFL045C/YMR309C/YER110C",7
"GO:1905368","CC","GO:1905368","peptidase complex",0.0531914893617021,0.012987012987013,0.0072252611240062,0.040295804710146,0.0280339839181294,"YDL007W/YFR004W/YIL075C/YHR027C/YOR117W",5
"GO:0034515","CC","GO:0034515","proteasome storage granule",0.0319148936170213,0.00432900432900433,0.0074107227053142,0.040295804710146,0.0280339839181294,"YFR004W/YIL075C/YHR027C",3
"GO:0005643","CC","GO:0005643","nuclear pore",0.0425531914893617,0.00883116883116883,0.00917520387892735,0.0483783477252533,0.0336570477217431,"YML103C/YDR395W/YLL023C/YER110C",4
"GO:0061608","MF","GO:0061608","nuclear import signal receptor activity",0.0434782608695652,0.00208840932822833,2.76219300523289e-05,0.00405122206931472,0.00334653699376953,"YJR132W/YDR395W/YGL016W/YER110C",4
