"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","set","DE"
"sce04138","Autophagy - yeast",0.0784810126582278,0.0434153400868307,0.000301633603790974,0.0274486579449787,0.0244481973599,"YBL078C/YNL223W/YLR211C/YGL180W/YLR423C/YPL149W/YBR128C/YNR007C/YEL060C/YPR185W/YMR159C/YKL048C/YHR171W/YPR049C/YGL212W/YBR131W/YNL242W/YDR080W/YDR173C/YDL149W/YCR068W/YJL164C/YDR022C/YDR495C/YPL154C/YPL166W/YPL203W/YHR071W/YBR097W/YGL095C/YNL098C",31,"corrected_B1_WT_vs_B1_ATG","Up"
"sce04146","Peroxisome",0.0405063291139241,0.0192957067052581,0.00156763257240092,0.047551521362828,0.0423535817806565,"YAR035W/YPL147W/YDL065C/YLR174W/YKL188C/YDR265W/YNL202W/YGL153W/YKL197C/YLR191W/YGR088W/YGL205W/YDR244W/YNL009W/YFL030W/YJL210W",16,"corrected_B1_WT_vs_B1_ATG","Up"
"sce04136","Autophagy - other",0.0278481012658228,0.0110950313555234,0.00155870601697121,0.047551521362828,0.0423535817806565,"YBL078C/YNL223W/YGL180W/YPL149W/YNR007C/YPR185W/YHR171W/YPR049C/YNL242W/YDL149W/YBR097W",11,"corrected_B1_WT_vs_B1_ATG","Up"
"sce03010","Ribosome",0.198288159771755,0.0829715388326097,5.1158662829227e-40,4.86007296877656e-38,4.20039547439969e-38,"YDR337W/YGL068W/YML009C/YPL183W-A/YGR118W/YPR132W/YDL081C/YHL004W/YLR009W/YFL034C-A/YDL130W/YNL067W/YBL027W/YBR084C-A/YPL198W/YLR029C/YGR085C/YHL001W/YNL096C/YDR500C/YLR075W/YOR063W/YJL191W/YBL092W/YHL033C/YLR264W/YDL136W/YDL191W/YMR194W/YBR181C/YPL090C/YLR333C/YLR185W/YHR203C/YJR145C/YDL133C-A/YDL184C/YKL156W/YBR189W/YGL123W/YDR471W/YLR441C/YGR027C/YCR031C/YBL087C/YER117W/YOL127W/YLL045C/YGL135W/YPL220W/YPR102C/YHR010W/YLR287C-A/YOR182C/YLR344W/YNL178W/YML063W/YOL121C/YGL103W/YNL301C/YOL120C/YOR096W/YJL177W/YHL015W/YLR406C/YNL069C/YGR034W/YML024W/YLR340W/YGL189C/YDR450W/YML026C/YOR234C/YMR230W/YDL083C/YMR143W/YIL052C/YDL075W/YFR031C-A/YIL018W/YIL133C/YPL131W/YBR191W/YDL061C/YHR141C/YNL162W/YGR148C/YJR094W-A/YPR043W/YPL249C-A/YKL180W/YBR048W/YDR025W/YPL143W/YIL148W/YKR094C/YGL076C/YDR418W/YEL054C/YJR123W/YLR167W/YDR064W/YLR061W/YOL039W/YPL079W/YMR142C/YBL072C/YER102W/YOR293W/YML073C/YER131W/YER056C-A/YLR048W/YBR031W/YER074W/YIL069C/YKL006W/YJL190C/YGL031C/YDL082W/YJL136C/YLR388W/YDR012W/YGR214W/YLR325C/YOL040C/YLR448W/YGL147C/YLR367W/YOR167C/YNL302C/YDR447C/YOR369C/YDR382W/YFR032C-A/YGL030W/YHR021C/YKR057W/YJL189W",139,"corrected_B1_WT_vs_B1_ATG","Down"
"sce01230","Biosynthesis of amino acids",0.0827389443651926,0.0602990834539315,0.00177837394637519,0.0281575874842739,0.0243356434767132,"YIL116W/YDL066W/YDR035W/YBR218C/YLR354C/YDR127W/YNR050C/YGR155W/YEL046C/YCL009C/YMR108W/YKL181W/YNL104C/YGL009C/YIR034C/YLR355C/YMR205C/YHR033W/YBL068W/YDR111C/YER023W/YGL026C/YBR263W/YHR208W/YER052C/YOL061W/YER055C/YDR234W/YKL060C/YLR089C/YDL171C/YHL011C/YGL148W/YPR060C/YOR095C/YOR136W/YGR124W/YGR192C/YPL111W/YDR158W/YOR202W/YJL121C/YHR174W/YER086W/YLR180W/YAL038W/YBR249C/YJL200C/YGL202W/YAL012W/YCR053W/YPR074C/YLR058C/YHR025W/YJR016C/YPR145W/YOR108W/YCL064C",58,"corrected_B1_WT_vs_B1_ATG","Down"
"sce03008","Ribosome biogenesis in eukaryotes",0.0584878744650499,0.0356970574047275,8.42350609969302e-05,0.00335580960419816,0.00290031190168927,"YJR002W/YML093W/YPL217C/YLR022C/YLR059C/YPL043W/YLR129W/YDR339C/YNL075W/YDR398W/YLL034C/YPR016C/YHR089C/YHR196W/YLR175W/YPL169C/YHR148W/YDL208W/YLR409C/YER006W/YGL099W/YDR324C/YLR106C/YPL126W/YHR170W/YLR293C/YHR062C/YGR128C/YJL109C/YCR057C/YPL093W/YHR072W-A/YLR222C/YDL014W/YMR093W/YOR310C/YGR090W/YLR197W/YNL132W/YLR186W/YEL026W",41,"corrected_B1_WT_vs_B1_ATG","Down"
"sce00230","Purine metabolism",0.0413694721825963,0.0270139893873613,0.00375516919314586,0.0396378970387618,0.0342576838672955,"YGR180C/YKL127W/YJL026W/YKL181W/YBL068W/YNL220W/YLR432W/YIL066C/YHR216W/YDR454C/YDR226W/YOL061W/YDR408C/YLR359W/YHL011C/YAR015W/YMR300C/YGR061C/YCL050C/YGL234W/YGL101W/YML056C/YJR105W/YMR120C/YMR217W/YDR399W/YNL141W/YML022W/YER070W",29,"corrected_B1_WT_vs_B1_ATG","Down"
"sce01232","Nucleotide metabolism",0.0342368045649073,0.020260492040521,0.00145860770645953,0.0277135464227311,0.0239518739165986,"YGR180C/YJL026W/YDR020C/YNL220W/YLR432W/YIL066C/YNR012W/YHR216W/YKL024C/YDR454C/YDR226W/YHR128W/YLR359W/YOR074C/YBR252W/YGL101W/YML056C/YJR105W/YMR217W/YDR399W/YNL141W/YBL039C/YML022W/YER070W",24,"corrected_B1_WT_vs_B1_ATG","Down"
"sce03020","RNA polymerase",0.0299572039942939,0.014954172696575,0.000105972934869416,0.00335580960419816,0.00290031190168927,"YIL021W/YDL140C/YDL150W/YDR156W/YNL113W/YBR154C/YPR190C/YHR143W-A/YOL005C/YNR003C/YJL011C/YPR187W/YGL070C/YJR063W/YJL148W/YOR340C/YPR110C/YOR341W/YOR224C/YPR010C/YNL248C",21,"corrected_B1_WT_vs_B1_ATG","Down"
"sce04145","Phagosome",0.0285306704707561,0.0168837433671008,0.0036206024294018,0.0396378970387618,0.0342576838672955,"YML001W/YBR127C/YPL234C/YPR036W/YDR086C/YHR039C-A/YML085C/YER019C-A/YOR270C/YGR020C/YLR268W/YML124C/YBR283C/YDL185W/YEL027W/YKL080W/YHR026W/YER087C-B/YFL037W/YLR378C",20,"corrected_B1_WT_vs_B1_ATG","Down"
